,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39860280
source,MED
pmid,39860280
pmcid,PMC11767948
fullTextIdList,{'fullTextId': 'PMC11767948'}
doi,10.3390/molecules30020411
title,Compounds Involved in the Invasive Characteristics of &lt;i&gt;Lantana camara&lt;/i&gt;.
authorString,"Kato-Noguchi H, Kato M."
authorList,"{'author': [{'fullName': 'Kato-Noguchi H', 'firstName': 'Hisashi', 'lastName': 'Kato-Noguchi', 'initials': 'H', 'authorId': {'@type': 'ORCID', '#text': '0000-0002-8636-4870'}, 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Applied Biological Science, Faculty of Agriculture, Kagawa University, Miki 761-0795, Kagawa, Japan.'}}}, {'fullName': 'Kato M', 'firstName': 'Midori', 'lastName': 'Kato', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Applied Biological Science, Faculty of Agriculture, Kagawa University, Miki 761-0795, Kagawa, Japan.'}}}]}"
authorIdList,"{'authorId': {'@type': 'ORCID', '#text': '0000-0002-8636-4870'}}"
journalInfo,"{'issue': '2', 'volume': '30', 'journalIssueId': '3891648', 'dateOfPublication': '2025 Jan', 'monthOfPublication': '1', 'yearOfPublication': '2025', 'printPublicationDate': '2025-01-01', 'journal': {'title': 'Molecules (Basel, Switzerland)', 'ISOAbbreviation': 'Molecules', 'medlineAbbreviation': 'Molecules', 'NLMid': '100964009', 'ISSN': '1420-3049', 'ESSN': '1420-3049'}}"
pubYear,2025
pageInfo,411
abstractText,"<i>Lantana camara</i> L. is native to tropical America and has naturalized in many other tropical, subtropical, and temperate regions in Asia, Africa, Oceania, North and South America, and Europe. <i>L. camara</i> infests diverse habitats with a wide range of climatic factors, and its population increases aggressively as one of the world's 100 worst invasive alien species. Its infestation reduces species diversity and abundance in the natural ecosystems and reduces agricultural production. The life history characteristics of <i>L. camara</i>, such as its high reproductive ability and high adaptive ability to various environmental conditions, may contribute to its ability to infest and increase its population. Possible evidence of the compounds involved in the defense functions of <i>L. camara</i> against natural enemies, such as herbivore mammals and insects, parasitic nematodes, pathogenic fungi and bacteria, and the allelochemicals involved in its allelopathy against neighboring competitive plant species, have accumulated in the literature over three decades. Lantadenes A and B, oleanonic acid, and icterogenin are highly toxic to herbivore mammals, and β-humulene, isoledene, α-copaene thymol, and hexadecanoic acid have high insecticidal activity. β-Caryophyllene and <i>cis</i>-3-hexen-1-ol may function as herbivore-induced plant volatiles which are involved in sending warning signals to undamaged tissues and the next plants of the same species. Farnesol and farnesal may interrupt insect juvenile hormone biosynthesis and cause abnormal metamorphosis of insects. Several triterpenes, such as lantanolic acid, lantoic acid, pomolic acid, camarin, lantacin, camarinin, ursolic acid, and oleanonic acid, have demonstrated nematocidal activity. Lantadene A, β-caryophyllene, germacrene-D, β-curcumene, eicosapentaenoic acid, and loliolide may possess antimicrobial activity. Allelochemicals, such as caffeic acid, ferulic acid, salicylic acid, α-resorcylic acid, <i>p</i>-hydroxybenzoic acid, vanillic acid, unbelliferone, and quercetin, including lantadenes A and B and β-caryophyllene, suppress the germination and growth of neighboring plant species. These compounds may be involved in the defense functions and allelopathy and may contribute to <i>L. camara</i>'s ability to infest and to expand its population as an invasive plant species in new habitats. This is the first review to focus on how compounds enhance the invasive characteristics of <i>L. camara</i>."
affiliation,"Department of Applied Biological Science, Faculty of Agriculture, Kagawa University, Miki 761-0795, Kagawa, Japan."
publicationStatus,epublish
language,eng
pubModel,Electronic
pubTypeList,"{'pubType': ['review-article', 'Review', 'Journal Article']}"
meshHeadingList,"{'meshHeading': [{'majorTopic_YN': 'N', 'descriptorName': 'Animals'}, {'majorTopic_YN': 'Y', 'descriptorName': 'Lantana', 'meshQualifierList': {'meshQualifier': [{'abbreviation': 'ME', 'qualifierName': 'metabolism', 'majorTopic_YN': 'N'}, {'abbreviation': 'CH', 'qualifierName': 'chemistry', 'majorTopic_YN': 'N'}]}}, {'majorTopic_YN': 'Y', 'descriptorName': 'Introduced Species'}]}"
keywordList,"{'keyword': ['Natural enemy', 'Pathogen', 'Invasive species', 'Herbivore', 'Nematode', 'Allelochemical', 'Β-caryophyllene', 'Lantadene']}"
subsetList,"{'subset': {'code': 'IM', 'name': 'Index Medicus'}}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.3390/molecules30020411'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11767948'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11767948?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,3
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCompletion,2025-05-03
dateOfCreation,2025-01-25
firstIndexDate,2025-01-28
fullTextReceivedDate,2025-02-03
dateOfRevision,2025-06-25
electronicPublicationDate,2025-01-19
firstPublicationDate,2025-01-19
