,Info_By_EuropePMC_Api
downloaded,True
htmlmade,False
id,39917238
source,MED
pmid,39917238
pmcid,PMC11795464
fullTextIdList,{'fullTextId': 'PMC11795464'}
doi,10.6026/9732063002001142
title,Antifungal effects of natural extracts on <i>Candida albicans</i>.
authorString,"Rawal A, Srivastava A, Shrivastava R, Goyal M, Aghera A, Pattnaik N."
authorList,"{'author': [{'fullName': 'Rawal A', 'firstName': 'Ami', 'lastName': 'Rawal', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': ""Department of Oral Pathology and Microbiology, People's Dental Academy, Bhopal, M.P, India.""}}}, {'fullName': 'Srivastava A', 'firstName': 'Arpita', 'lastName': 'Srivastava', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Oral Medicine and Radiology, Government College of Dentistry, Indore, M.P, India.'}}}, {'fullName': 'Shrivastava R', 'firstName': 'Rahul', 'lastName': 'Shrivastava', 'initials': 'R', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Private Practitioner, Department of Prosthodontics, Revti Dental Clinic, Indore, M.P, India.'}}}, {'fullName': 'Goyal M', 'firstName': 'Megha', 'lastName': 'Goyal', 'initials': 'M', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Oral Medicine and Radiology, MPCDRC, Gwalior, M.P, India.'}}}, {'fullName': 'Aghera A', 'firstName': 'Angel', 'lastName': 'Aghera', 'initials': 'A', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Oral Medicine and Radiology, Ahmedabad Dental College and Hospital, Ahmedabad, Gujarat, India.'}}}, {'fullName': 'Pattnaik N', 'firstName': 'Naina', 'lastName': 'Pattnaik', 'initials': 'N', 'authorAffiliationDetailsList': {'authorAffiliation': {'affiliation': 'Department of Periodontics and Oral Implantology, Kalinga Institute of Dental Science, Kiit Deemed to be University, Patia, Bhubaneswar, Odisha, India.'}}}]}"
journalInfo,"{'issue': '9', 'volume': '20', 'journalIssueId': '3898844', 'dateOfPublication': '2024', 'monthOfPublication': '0', 'yearOfPublication': '2024', 'printPublicationDate': '2024-01-01', 'journal': {'title': 'Bioinformation', 'ISOAbbreviation': 'Bioinformation', 'medlineAbbreviation': 'Bioinformation', 'NLMid': '101258255', 'ISSN': '0973-2063', 'ESSN': '0973-2063'}}"
pubYear,2024
pageInfo,1142-1147
abstractText,"Fungal infections caused by <i>Candida albicans</i> present significant challenges in clinical settings owing to rising resistance to conventional antifungal treatments. Natural products derived from medicinal plants, including tulsi (<i>Ocimum sanctum</i>), garlic (<i>Allium sativum</i>), cinnamon (<i>Cinnamomum verum</i>) and lemongrass (<i>Cymbopogon citratus</i>), are increasingly recognized for their potential antimicrobial properties and as alternative sources of antifungal therapies. This study evaluated the antifungal efficacy of Tulsi, Garlic, Cinnamon and Lemongrass extracts against <i>Candida albicans</i> using disk diffusion and broth microdilution methods. Natural extracts from Tulsi, Garlic, Cinnamon and Lemongrass demonstrated varying degrees of antifungal activity against <i>Candida albicans</i>. Tulsi emerged as the most effective, followed by garlic and cinnamon, whereas lemongrass showed comparatively lower efficacy. These findings underscore Tulsi's potential as a potent natural antifungal agent and warrant further exploration of its therapeutic applications in fungal infections."
affiliation,"Department of Oral Pathology and Microbiology, People's Dental Academy, Bhopal, M.P, India."
publicationStatus,epublish
language,eng
pubModel,Electronic-eCollection
pubTypeList,"{'pubType': ['research-article', 'Journal Article']}"
keywordList,"{'keyword': ['Medicinal plants', 'Candida albicans', 'Garlic', 'Antifungal activity', 'Cinnamon', 'Lemongrass', 'Tulsi']}"
fullTextUrlList,"{'fullTextUrl': [{'availability': 'Subscription required', 'availabilityCode': 'S', 'documentStyle': 'doi', 'site': 'DOI', 'url': 'https://doi.org/10.6026/9732063002001142'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'html', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11795464'}, {'availability': 'Open access', 'availabilityCode': 'OA', 'documentStyle': 'pdf', 'site': 'Europe_PMC', 'url': 'https://europepmc.org/articles/PMC11795464?pdf=render'}]}"
isOpenAccess,Y
inEPMC,Y
inPMC,Y
hasPDF,Y
hasBook,N
hasSuppl,N
citedByCount,0
hasData,N
hasReferences,Y
hasTextMinedTerms,Y
hasDbCrossReferences,N
hasLabsLinks,N
license,cc by
hasEvaluations,N
authMan,N
epmcAuthMan,N
nihAuthMan,N
hasTMAccessionNumbers,N
dateOfCreation,2025-02-07
firstIndexDate,2025-02-08
fullTextReceivedDate,2025-02-08
dateOfRevision,2025-02-08
electronicPublicationDate,2024-09-30
firstPublicationDate,2024-09-30
